barthel_code,alba_value,type,kill_shot,pozdniakov_52,cross_tablet_count,tablets_present,confidence
001,i,vowel,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
002,e,vowel,YES,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,A
003,e,vowel,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
004,ra,syllabogram,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
005,ra,syllabogram,YES,YES,12,A|B|C|D|E|G|H|K|P|Q|R|S,A
006,a,vowel,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
007,ra,syllabogram,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
008,na,syllabogram,YES,YES,11,A|B|C|D|E|G|H|P|Q|R|S,A
009,u,vowel,YES,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,A
010,o,vowel,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
015,te,syllabogram,YES,YES,8,A|B|D|H|N|P|Q|S,A
016,u,vowel,no,YES,7,A|B|C|E|H|P|S,B
022,t,consonant,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
025,ra,syllabogram,YES,YES,10,A|B|D|E|H|N|P|Q|R|S,A
027,ko,syllabogram,YES,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,A
028,ta,syllabogram,YES,YES,10,A|B|C|E|G|H|P|Q|R|S,A
034,ra,syllabogram,no,YES,11,A|B|C|D|E|H|N|P|Q|R|S,B
037,a,vowel,no,no,8,A|B|C|E|H|P|R|S,D
041,ra,syllabogram,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
044,a,vowel,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
045,i,vowel,no,no,11,A|B|C|E|G|H|K|P|Q|R|S,D
047,a,vowel,no,YES,11,A|B|C|E|G|H|N|P|Q|R|S,B
050,ma,syllabogram,no,YES,12,A|B|C|D|E|G|H|K|P|Q|R|S,B
052,ki,syllabogram,YES,YES,9,A|B|C|D|H|N|P|Q|S,A
054,a,vowel,YES,no,12,A|B|C|D|E|G|H|N|P|Q|R|S,B
059,h,consonant,no,YES,12,A|B|C|D|E|G|H|K|P|Q|R|S,B
060,ri,syllabogram,no,YES,11,A|B|C|D|E|H|N|P|Q|R|S,B
061,u,vowel,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
062,u,vowel,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
063,t,consonant,no,YES,12,A|B|C|D|E|G|H|K|N|P|Q|S,B
066,u,vowel,no,YES,12,A|B|C|E|G|H|K|N|P|Q|R|S,B
067,ri,syllabogram,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
069,a,vowel,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
070,a,vowel,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
073,k,consonant,no,no,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,D
074,hua,syllabogram,no,YES,12,A|B|C|D|E|G|H|N|P|Q|R|S,B
075,a,vowel,no,no,6,A|C|G|H|R|S,D
076,ma,syllabogram,no,YES,9,A|B|E|G|H|N|P|Q|S,B
084,ha,syllabogram,YES,no,6,A|B|C|H|P|Q,B
091,a,vowel,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
095,p,consonant,no,YES,11,A|B|C|D|E|G|H|P|Q|R|S,B
099,o,vowel,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
230,ng,consonant,no,no,8,A|B|G|H|P|Q|R|S,D
280,(glottal),special,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
260,r,consonant,no,no,12,A|B|C|D|E|G|H|K|P|Q|R|S,D
530,v,consonant,no,YES,8,A|C|D|G|H|P|Q|S,B
730,n,consonant,no,YES,13,A|B|C|D|E|G|H|K|N|P|Q|R|S,B
740,m,consonant,no,no,4,A|B|D|S,D
